star,mv,bvcolor,observation_id
224983,5.84743485032284,0.888,j334.309
224983,5.84743485032284,0.888,j299.265
224983,5.84743485032284,0.888,j159.946
224983,5.84743485032284,0.888,j317.370
224983,5.84743485032284,0.888,j877.188
224983,5.84743485032284,0.888,j880.175
224983,5.84743485032284,0.888,j878.168
224983,5.84743485032284,0.888,j300.284
224983,5.84743485032284,0.888,j08.1609
224983,5.84743485032284,0.888,j157.553
224983,5.84743485032284,0.888,j319.66
224983,5.84743485032284,0.888,j298.77
224983,5.84743485032284,0.888,j860.130
224983,5.84743485032284,0.888,j48.1219
224983,5.84743485032284,0.888,j855.121
224983,5.84743485032284,0.888,j11.999
224983,5.84743485032284,0.888,j879.189
224983,5.84743485032284,0.888,j80.115
224983,5.84743485032284,0.888,j28.129
224983,5.84743485032284,0.888,j851.226
224983,5.84743485032284,0.888,j881.142
224983,5.84743485032284,0.888,j15.1744
224983,5.84743485032284,0.888,j300.93
224983,5.84743485032284,0.888,j97.1754
224983,5.84743485032284,0.888,j882.151
224983,5.84743485032284,0.888,j48.826
224983,5.84743485032284,0.888,j177.151
224983,5.84743485032284,0.888,j301.35
224983,5.84743485032284,0.888,j45.184
225261,5.77866119475918,0.755,j02.191
225261,5.77866119475918,0.755,j184.169
225261,5.77866119475918,0.755,j01.454
225261,5.77866119475918,0.755,j304.196
225261,5.77866119475918,0.755,j20.32
225261,5.77866119475918,0.755,j105.132
225261,5.77866119475918,0.755,j277.75
hip428,9.66709701664659,1.48,j97.2179
hip428,9.66709701664659,1.48,j23.1069
hip428,9.66709701664659,1.48,j180.992
hip428,9.66709701664659,1.48,j161.534
hip428,9.66709701664659,1.48,j23.208
hip428,9.66709701664659,1.48,j70.1479
hip428,9.66709701664659,1.48,j63.1291
hip428,9.66709701664659,1.48,j63.393
hip428,9.66709701664659,1.48,j43.4206
hip428,9.66709701664659,1.48,j97.3038
hip428,9.66709701664659,1.48,j97.167
hip428,9.66709701664659,1.48,j01.451
hip428,9.66709701664659,1.48,j15.2347
hip428,9.66709701664659,1.48,j161.348
hip428,9.66709701664659,1.48,j100.127
hip428,9.66709701664659,1.48,j97.2429
hip428,9.66709701664659,1.48,j302.276
hip428,9.66709701664659,1.48,j26.957
hip428,9.66709701664659,1.48,j23.621
hip428,9.66709701664659,1.48,j19.1028
hip428,9.66709701664659,1.48,j158.508
hip428,9.66709701664659,1.48,j60.810
hip428,9.66709701664659,1.48,j194.723
hip428,9.66709701664659,1.48,j80.573
hip428,9.66709701664659,1.48,j130.2315
225213,10.3723043552509,1.46,j185.583
225213,10.3723043552509,1.46,j48.1224
225213,10.3723043552509,1.46,j899.114
225213,10.3723043552509,1.46,j56.2186
225213,10.3723043552509,1.46,j100.153
225213,10.3723043552509,1.46,j159.729
225213,10.3723043552509,1.46,j80.111
225213,10.3723043552509,1.46,j134.223
225213,10.3723043552509,1.46,j23.1511
225213,10.3723043552509,1.46,j134.410
225213,10.3723043552509,1.46,j133.409
225213,10.3723043552509,1.46,j208.143
225213,10.3723043552509,1.46,j21.224
225213,10.3723043552509,1.46,j82.106
225213,10.3723043552509,1.46,j64.63
225213,10.3723043552509,1.46,j886.119
225213,10.3723043552509,1.46,j157.718
225213,10.3723043552509,1.46,j15.1713
225213,10.3723043552509,1.46,j45.188
225213,10.3723043552509,1.46,j104.282
225213,10.3723043552509,1.46,j98.147
225213,10.3723043552509,1.46,j137.642
225213,10.3723043552509,1.46,j137.906
225213,10.3723043552509,1.46,j305.573
225213,10.3723043552509,1.46,j154.350
225213,10.3723043552509,1.46,j900.126
225213,10.3723043552509,1.46,j21.903
225213,10.3723043552509,1.46,j23.1080
225213,10.3723043552509,1.46,j155.101
225213,10.3723043552509,1.46,j63.713
225213,10.3723043552509,1.46,j19.1045
225213,10.3723043552509,1.46,j159.944
225213,10.3723043552509,1.46,j899.113
225213,10.3723043552509,1.46,j15.1210
225213,10.3723043552509,1.46,j910.17
225213,10.3723043552509,1.46,j860.118
225213,10.3723043552509,1.46,j15.910
225213,10.3723043552509,1.46,j134.409
225213,10.3723043552509,1.46,j48.830
225213,10.3723043552509,1.46,j23.639
225213,10.3723043552509,1.46,j14.528
225213,10.3723043552509,1.46,j180.146
225213,10.3723043552509,1.46,j910.16
225213,10.3723043552509,1.46,j97.2198
225213,10.3723043552509,1.46,j97.331
225213,10.3723043552509,1.46,j102.155
225213,10.3723043552509,1.46,j886.120
225213,10.3723043552509,1.46,j15.2311
225213,10.3723043552509,1.46,j82.686
225213,10.3723043552509,1.46,j885.114
225213,10.3723043552509,1.46,j172.1138
225213,10.3723043552509,1.46,j141.83
225213,10.3723043552509,1.46,j100.756
